date,zone_id,disruption_events,avg_temperature,aqi,order_volume
2026-01-18,3,0,26.1,75,912
2026-01-19,3,1,30.8,114,800
2026-01-20,3,2,31.6,75,668
2026-01-21,3,2,29.5,56,901
2026-01-22,3,1,26.3,92,750
2026-01-23,3,0,35.0,58,661
2026-01-24,3,0,33.9,117,750
2026-01-25,3,0,29.0,60,856
2026-01-26,3,2,31.5,119,722
2026-01-27,3,3,37.1,86,662
2026-01-28,3,1,32.9,113,885
2026-01-29,3,2,28.0,65,675
2026-01-30,3,1,33.3,95,658
2026-01-31,3,0,36.6,62,916
2026-02-01,3,2,36.2,98,684
2026-02-02,3,0,28.7,63,724
2026-02-03,3,5,29.9,94,789
2026-02-04,3,0,38.3,68,819
2026-02-05,3,1,27.3,54,812
2026-02-06,3,1,33.0,96,709
2026-02-07,3,1,27.9,56,751
2026-02-08,3,2,35.8,113,904
2026-02-09,3,2,30.1,69,650
2026-02-10,3,1,28.8,74,787
2026-02-11,3,3,30.5,55,891
2026-02-12,3,3,32.7,112,806
2026-02-13,3,3,35.4,106,723
2026-02-14,3,1,32.6,104,697
2026-02-15,3,2,35.9,79,883
2026-02-16,3,1,27.9,73,749
2026-02-17,3,3,28.1,116,823
2026-02-18,3,1,29.6,106,717
2026-02-19,3,0,34.1,57,746
2026-02-20,3,2,32.6,66,788
2026-02-21,3,1,36.8,64,615
2026-02-22,3,4,36.3,114,815
2026-02-23,3,0,31.4,74,656
2026-02-24,3,4,32.6,100,777
2026-02-25,3,2,28.2,71,663
2026-02-26,3,1,27.7,60,793
2026-02-27,3,2,27.7,70,802
2026-02-28,3,2,30.5,114,795
2026-03-01,3,2,30.2,95,615
2026-03-02,3,1,30.2,114,712
2026-03-03,3,1,27.2,93,850
2026-03-04,3,2,34.1,67,841
2026-03-05,3,3,34.2,118,852
2026-03-06,3,1,26.2,115,745
2026-03-07,3,1,23.9,60,720
2026-03-08,3,1,31.5,65,828
2026-03-09,3,3,24.4,59,681
2026-03-10,3,3,25.7,98,594
2026-03-11,3,3,26.7,84,834
2026-03-12,3,2,29.1,67,625
2026-03-13,3,3,27.2,86,768
2026-03-14,3,1,26.8,97,608
2026-03-15,3,3,23.2,70,726
2026-03-16,3,1,31.0,83,723
2026-03-17,3,4,25.9,104,784
2026-03-18,3,2,32.3,59,834
2026-03-19,3,2,28.8,80,848
2026-03-20,3,2,29.0,88,755
2026-03-21,3,0,23.7,50,585
2026-03-22,3,1,24.0,72,652
2026-03-23,3,3,30.2,111,581
2026-03-24,3,4,21.6,96,683
2026-03-25,3,3,24.5,103,769
2026-03-26,3,2,22.8,92,632
2026-03-27,3,1,28.7,80,704
2026-03-28,3,0,26.3,61,671
2026-03-29,3,3,31.0,113,719
2026-03-30,3,3,29.2,113,792
2026-03-31,3,2,28.8,109,618
2026-04-01,3,2,25.7,113,571
2026-04-02,3,1,24.8,89,620
2026-04-03,3,1,26.4,68,699
2026-04-04,3,2,33.2,79,672
2026-04-05,3,0,29.3,80,602
2026-04-06,3,1,30.8,70,775
2026-04-07,3,3,24.8,97,687
2026-04-08,3,2,33.1,116,732
2026-04-09,3,0,23.3,82,655
2026-04-10,3,2,23.4,85,560
2026-04-11,3,4,31.7,107,790
2026-04-12,3,1,33.6,73,657
2026-04-13,3,2,32.2,110,722
2026-04-14,3,1,24.9,51,597
2026-01-15,4,1,21.0,51,358
2026-01-16,4,1,21.0,67,528
2026-01-17,4,0,26.3,63,490
2026-01-18,4,0,24.5,68,414
2026-01-19,4,0,30.6,38,434
2026-01-20,4,0,28.8,36,401
2026-01-21,4,1,28.0,61,363
2026-01-22,4,2,28.6,60,492
2026-01-23,4,1,24.3,37,382
2026-01-24,4,0,22.7,55,408
2026-01-25,4,0,31.0,75,456
2026-01-26,4,1,22.8,49,426
2026-01-27,4,0,28.2,42,363
2026-01-28,4,1,25.7,46,501
2026-01-29,4,0,24.5,45,530
2026-01-30,4,0,25.1,48,500
2026-01-31,4,0,29.5,57,526
2026-02-01,4,0,31.0,68,419
2026-02-02,4,0,30.8,39,531
2026-02-03,4,1,28.4,66,408
2026-02-04,4,1,29.5,49,463
2026-02-05,4,0,32.6,54,339
2026-02-06,4,2,27.5,50,485
2026-02-07,4,0,27.2,72,358
2026-02-08,4,0,27.8,53,420
2026-02-09,4,0,31.4,62,465
2026-02-10,4,1,28.5,73,379
2026-02-11,4,0,29.0,43,447
2026-02-12,4,0,23.4,36,499
2026-02-13,4,0,27.9,60,446
2026-02-14,4,0,30.7,64,389
2026-02-15,4,0,24.2,60,428
2026-02-16,4,0,29.2,61,520
2026-02-17,4,1,22.7,45,332
2026-02-18,4,2,28.8,51,488
2026-02-19,4,1,24.5,54,361
2026-02-20,4,1,22.8,62,483
2026-02-21,4,0,31.3,40,484
2026-02-22,4,0,29.4,53,514
2026-02-23,4,1,28.2,60,358
2026-02-24,4,0,23.7,53,387
2026-02-25,4,1,27.4,38,505
2026-02-26,4,0,29.1,45,457
2026-02-27,4,1,22.9,48,408
2026-02-28,4,1,29.4,50,500
2026-03-01,4,1,24.4,59,390
2026-03-02,4,0,22.3,64,385
2026-03-03,4,2,19.8,33,467
2026-03-04,4,1,28.7,43,448
2026-03-05,4,0,25.5,43,389
2026-03-06,4,1,21.1,56,449
2026-03-07,4,1,18.7,57,469
2026-03-08,4,0,25.7,37,376
2026-03-09,4,1,28.1,40,415
2026-03-10,4,2,19.5,46,443
2026-03-11,4,2,21.7,69,375
2026-03-12,4,0,23.8,63,442
2026-03-13,4,0,25.1,44,326
2026-03-14,4,0,23.4,53,492
2026-03-15,4,2,21.0,57,453
2026-03-16,4,0,17.7,31,457
2026-03-17,4,0,18.0,50,425
2026-03-18,4,1,22.5,47,427
2026-03-19,4,0,25.5,35,328
2026-03-20,4,0,24.4,37,439
2026-03-21,4,1,24.2,39,334
2026-03-22,4,1,25.1,43,322
2026-03-23,4,1,22.0,53,376
2026-03-24,4,0,22.1,33,463
2026-03-25,4,0,25.6,55,471
2026-03-26,4,0,19.8,32,375
2026-03-27,4,1,26.7,36,390
2026-03-28,4,0,19.3,52,361
2026-03-29,4,1,19.3,65,441
2026-03-30,4,2,25.9,68,473
2026-03-31,4,2,22.9,41,392
2026-04-01,4,3,26.7,54,428
2026-04-02,4,0,26.1,36,404
2026-04-03,4,1,26.0,61,432
2026-04-04,4,0,24.1,38,332
2026-04-05,4,1,21.5,41,324
2026-04-06,4,0,26.9,47,318
2026-04-07,4,0,28.7,36,371
2026-04-08,4,1,20.4,30,444
2026-04-09,4,2,25.6,56,345
2026-04-10,4,1,20.7,66,442
2026-04-11,4,0,27.8,50,304
2026-04-12,4,1,28.6,36,405
2026-04-13,4,0,22.8,37,332
2026-04-14,4,0,30.1,67,359
