claim_id,worker_id,baseline_hourly_income,actual_hourly_income,earnings_drop_ratio,disruption_hours,active_hours_during_disruption,orders_completed_during_disruption,avg_orders_per_hour,gps_zone_match,distance_from_zone_center,past_claim_count,claim_frequency,approval_ratio,zone_risk_score,disruption_type
48,148,143.56,35.81,0.7506,3,3,0,0.0,1,2.45,0,0.0,1.0,0.8,curfew
49,149,123.44,37.52,0.696,3,3,0,0.0,1,1.64,2,0.0606,1.0,0.67,curfew
50,150,126.76,31.58,0.7509,6,6,3,0.5,1,2.58,1,0.0256,1.0,0.85,curfew
51,151,105.55,17.42,0.835,6,6,2,0.3333,1,2.41,1,0.027,1.0,0.71,aqi
52,152,104.07,20.08,0.8071,5,5,0,0.0,1,0.85,1,0.0556,1.0,0.75,curfew
53,153,114.46,26.28,0.7704,6,6,3,0.5,1,0.66,1,0.0333,1.0,0.85,curfew
54,154,141.4,32.97,0.7668,3,3,3,1.0,1,1.69,1,0.0385,1.0,0.78,aqi
55,155,119.29,18.19,0.8475,4,4,3,0.75,1,0.57,2,0.08,1.0,0.74,aqi
56,156,145.17,39.42,0.7285,6,6,0,0.0,1,2.77,2,0.0488,1.0,0.73,weather
57,157,142.01,15.45,0.8912,4,4,2,0.5,1,1.45,1,0.0588,1.0,0.56,aqi
58,158,105.14,12.46,0.8815,6,6,0,0.0,1,2.37,1,0.1429,1.0,0.51,weather
59,159,135.25,38.49,0.7154,3,3,1,0.3333,1,2.6,0,0.0,1.0,0.52,aqi
60,160,117.9,17.69,0.85,4,4,2,0.5,1,0.92,2,0.0476,1.0,0.76,weather
61,161,124.72,37.87,0.6964,3,3,3,1.0,1,1.49,0,0.0,1.0,0.44,curfew
62,162,96.11,33.17,0.6549,4,4,0,0.0,1,2.49,0,0.0,1.0,0.57,aqi
63,163,120.36,20.24,0.8318,3,3,3,1.0,1,2.56,1,0.1,1.0,0.88,curfew
64,164,132.44,23.06,0.8259,6,6,2,0.3333,1,2.04,1,0.0263,1.0,0.63,curfew
65,165,141.1,34.92,0.7525,5,5,0,0.0,1,1.2,0,0.0,1.0,0.78,curfew
66,166,110.18,24.83,0.7746,6,6,2,0.3333,1,0.95,1,0.0588,1.0,0.8,aqi
67,167,123.35,25.5,0.7933,5,5,1,0.2,1,0.71,1,0.02,1.0,0.64,weather
68,168,116.89,10.52,0.91,6,6,2,0.3333,1,1.05,0,0.0,1.0,0.55,curfew
69,169,115.53,32.38,0.7197,5,5,2,0.4,1,1.38,1,0.0303,1.0,0.55,weather
70,170,97.17,91.43,0.0591,4,4,5,1.25,1,0.1,4,0.5,0.5,0.34,aqi
71,171,107.77,20.83,0.8067,4,4,2,0.5,1,0.54,0,0.0,1.0,0.54,weather
72,172,128.27,32.58,0.746,4,4,0,0.0,1,2.68,1,0.025,1.0,0.63,aqi
73,173,105.15,35.85,0.6591,3,3,0,0.0,1,2.56,1,0.0345,1.0,0.44,curfew
74,174,98.95,26.89,0.7282,4,4,2,0.5,1,0.71,0,0.0,1.0,0.68,aqi
75,175,136.54,21.41,0.8432,4,4,3,0.75,1,1.24,1,0.0244,1.0,0.55,curfew
76,176,127.53,15.29,0.8801,3,3,1,0.3333,0,13.14,6,2.0,0.0,0.16,aqi
77,177,107.48,16.94,0.8424,6,6,2,0.3333,1,2.26,0,0.0,1.0,0.74,aqi
78,178,115.51,26.34,0.772,4,4,1,0.25,1,2.77,0,0.0,1.0,0.43,aqi
79,179,116.35,24.06,0.7932,5,5,2,0.4,1,2.25,2,0.0952,1.0,0.67,aqi
80,180,134.07,94.15,0.2978,3,3,4,1.3333,1,0.05,6,0.6,0.0,0.5,aqi
81,181,118.23,29.55,0.7501,4,4,2,0.5,1,0.95,1,0.0244,1.0,0.72,aqi
82,182,110.88,20.0,0.8196,6,6,0,0.0,1,2.64,1,0.04,1.0,0.75,aqi
83,183,138.81,26.5,0.8091,6,6,3,0.5,1,0.72,1,0.05,1.0,0.46,aqi
84,184,129.46,26.28,0.797,3,3,3,1.0,1,0.64,1,0.027,1.0,0.71,aqi
85,185,102.21,26.48,0.7409,3,3,2,0.6667,1,1.6,1,0.0208,1.0,0.46,curfew
86,186,132.59,19.32,0.8543,4,4,0,0.0,1,1.88,0,0.0,1.0,0.9,weather
87,187,128.86,14.62,0.8865,3,3,2,0.6667,1,1.77,1,0.0476,1.0,0.82,aqi
88,188,113.02,37.66,0.6668,4,4,1,0.25,1,2.66,1,0.0476,1.0,0.57,curfew
89,189,106.97,18.96,0.8228,3,3,3,1.0,1,2.66,2,0.0625,1.0,0.64,aqi
90,190,117.32,19.65,0.8325,6,6,1,0.1667,1,2.95,2,0.1053,1.0,0.59,aqi
91,191,144.81,0.0,1.0,6,4,0,0.0,1,0.83,5,1.6667,0.0,0.15,aqi
92,192,95.98,37.31,0.6113,6,6,0,0.0,1,2.31,2,0.0667,1.0,0.88,weather
93,193,110.31,30.78,0.721,5,5,0,0.0,1,2.63,2,0.0426,1.0,0.59,aqi
94,194,142.34,11.08,0.9222,6,6,0,0.0,1,1.09,1,0.0213,1.0,0.9,curfew
95,195,132.23,0.0,1.0,3,1,0,0.0,1,0.94,2,0.4,0.0,0.23,weather
96,196,115.84,17.33,0.8504,5,5,3,0.6,1,1.91,0,0.0,1.0,0.49,curfew
97,197,119.86,27.49,0.7706,4,4,1,0.25,1,1.65,1,0.05,1.0,0.53,weather
98,198,144.07,30.33,0.7895,6,6,1,0.1667,1,0.68,2,0.0769,1.0,0.55,aqi
99,199,140.72,15.98,0.8864,6,6,3,0.5,1,2.63,0,0.0,1.0,0.59,aqi
100,200,91.32,34.9,0.6178,5,5,3,0.6,1,1.19,2,0.05,1.0,0.79,weather
101,201,139.97,37.09,0.735,6,6,1,0.1667,1,2.02,0,0.0,1.0,0.72,curfew
102,202,127.69,37.1,0.7095,4,4,0,0.0,1,1.27,0,0.0,1.0,0.69,curfew
103,203,134.85,77.03,0.4288,5,5,5,1.0,1,0.39,6,1.0,0.6667,0.47,weather
104,204,148.04,18.85,0.8727,6,6,2,0.3333,1,2.51,0,0.0,1.0,0.47,weather
105,205,148.04,34.14,0.7694,6,6,2,0.3333,1,0.73,0,0.0,1.0,0.53,weather
106,206,125.07,34.67,0.7228,5,5,2,0.4,1,0.77,1,0.0556,1.0,0.41,curfew
107,207,128.86,29.06,0.7745,4,4,3,0.75,1,2.77,2,0.087,1.0,0.6,weather
108,208,149.76,74.64,0.5016,3,3,5,1.6667,1,0.44,5,1.6667,0.6,0.25,aqi
109,209,143.12,29.65,0.7928,4,4,3,0.75,1,2.04,0,0.0,1.0,0.75,weather
110,210,141.33,12.98,0.9082,4,4,2,0.5,1,1.86,1,0.0222,1.0,0.43,aqi
111,211,146.94,34.73,0.7636,3,3,0,0.0,1,2.16,2,0.0444,1.0,0.7,weather
112,212,149.33,25.74,0.8276,5,5,1,0.2,0,11.37,3,0.3333,0.0,0.43,weather
113,213,137.32,27.88,0.797,4,4,2,0.5,1,2.65,0,0.0,1.0,0.67,weather
114,214,90.89,25.8,0.7161,3,3,1,0.3333,0,21.78,3,3.0,0.3333,0.12,aqi
115,215,118.57,33.34,0.7188,3,3,0,0.0,1,1.63,2,0.1111,1.0,0.42,curfew
116,216,128.6,10.93,0.915,6,6,3,0.5,1,2.62,2,0.0645,1.0,0.45,curfew
117,217,143.96,19.66,0.8634,3,3,1,0.3333,1,0.66,2,0.0952,1.0,0.72,curfew
118,218,149.68,25.92,0.8268,6,6,3,0.5,1,1.76,0,0.0,1.0,0.8,weather
119,219,115.8,36.64,0.6836,4,4,3,0.75,1,1.35,1,0.0303,1.0,0.61,weather
120,220,129.91,21.23,0.8366,5,5,1,0.2,1,2.22,0,0.0,1.0,0.45,weather
121,221,134.33,0.0,1.0,3,1,0,0.0,1,1.16,6,0.6,0.6667,0.23,weather
122,222,142.09,31.63,0.7774,6,6,2,0.3333,1,2.0,0,0.0,1.0,0.69,weather
123,223,103.45,13.25,0.8719,6,6,2,0.3333,1,0.79,2,0.0952,1.0,0.51,aqi
124,224,126.54,29.73,0.7651,3,3,2,0.6667,1,0.57,2,0.0952,1.0,0.78,aqi
125,225,142.19,26.99,0.8102,4,4,3,0.75,1,0.67,2,0.0392,1.0,0.89,weather
126,226,112.57,23.61,0.7903,4,4,1,0.25,1,1.43,1,0.02,1.0,0.79,curfew
127,227,99.33,32.63,0.6715,3,3,0,0.0,1,2.18,1,0.0476,1.0,0.73,aqi
128,228,106.39,32.65,0.6931,6,6,0,0.0,1,1.36,1,0.0909,1.0,0.74,curfew
129,229,92.73,21.86,0.7643,5,5,0,0.0,1,0.52,0,0.0,1.0,0.78,aqi
130,230,90.46,32.41,0.6417,3,3,1,0.3333,1,0.82,2,0.0526,1.0,0.52,curfew
131,231,94.32,35.85,0.6199,5,5,0,0.0,1,1.59,0,0.0,1.0,0.83,curfew
132,232,132.57,22.53,0.8301,6,6,0,0.0,1,1.51,0,0.0,1.0,0.8,curfew
133,233,95.29,35.33,0.6292,5,5,1,0.2,1,1.59,2,0.069,1.0,0.44,aqi
134,234,109.98,15.04,0.8632,4,4,0,0.0,1,1.83,1,0.0625,1.0,0.58,curfew
135,235,96.17,17.68,0.8162,4,4,1,0.25,1,2.01,2,0.0385,1.0,0.44,curfew
136,236,130.87,36.46,0.7214,6,6,2,0.3333,1,2.66,1,0.0227,1.0,0.48,weather
137,237,137.78,27.74,0.7987,5,5,2,0.4,1,1.77,1,0.0435,1.0,0.63,weather
138,238,94.6,35.93,0.6202,5,5,0,0.0,1,2.04,1,0.0278,1.0,0.63,curfew
139,239,116.98,34.29,0.7069,3,3,1,0.3333,1,1.3,2,0.0588,1.0,0.48,weather
140,240,148.94,12.53,0.9159,5,5,1,0.2,1,0.6,1,0.0204,1.0,0.9,curfew
141,241,111.83,37.54,0.6643,4,4,3,0.75,1,1.52,2,0.08,1.0,0.7,curfew
142,242,109.78,26.74,0.7564,3,3,3,1.0,1,1.21,2,0.04,1.0,0.88,curfew
143,243,94.89,29.91,0.6848,5,5,2,0.4,1,1.28,2,0.0444,1.0,0.73,weather
144,244,108.57,21.3,0.8038,3,3,2,0.6667,1,2.53,2,0.0435,1.0,0.81,curfew
145,245,128.76,22.7,0.8237,3,3,2,0.6667,1,0.55,0,0.0,1.0,0.88,aqi
146,246,101.52,40.0,0.606,6,6,1,0.1667,1,0.69,2,0.2,1.0,0.79,curfew
147,247,129.72,36.29,0.7202,3,3,1,0.3333,1,1.99,0,0.0,1.0,0.49,curfew
148,248,133.27,11.31,0.9151,4,4,2,0.5,1,2.19,1,0.0526,1.0,0.71,curfew
149,249,122.04,19.28,0.842,4,4,3,0.75,1,2.76,1,0.0625,1.0,0.74,curfew
150,250,136.17,33.34,0.7552,6,6,3,0.5,1,2.92,2,0.125,1.0,0.47,aqi
151,251,123.27,74.1,0.3989,6,6,8,1.3333,1,0.43,2,0.4,0.0,0.21,weather
152,252,146.78,16.66,0.8865,3,3,3,1.0,1,2.71,1,0.2,1.0,0.43,curfew
153,253,149.67,21.25,0.858,6,6,0,0.0,1,1.3,2,0.2,1.0,0.72,weather
154,254,131.76,75.55,0.4266,5,5,7,1.4,1,0.22,2,2.0,0.0,0.2,weather
155,255,96.67,18.64,0.8072,6,6,2,0.3333,1,0.8,1,0.0526,1.0,0.72,curfew
156,256,140.2,24.99,0.8218,3,3,0,0.0,1,2.08,0,0.0,1.0,0.76,aqi
157,257,104.43,22.5,0.7845,5,5,0,0.0,1,1.81,0,0.0,1.0,0.88,curfew
158,258,113.43,24.1,0.7875,3,3,3,1.0,1,2.95,2,0.1,1.0,0.41,weather
159,259,136.29,32.06,0.7648,3,3,2,0.6667,1,0.83,2,0.0769,1.0,0.57,curfew
160,260,148.85,24.36,0.8363,6,6,1,0.1667,1,2.53,2,0.25,1.0,0.79,aqi
161,261,137.47,27.72,0.7984,4,4,2,0.5,0,28.67,5,0.5556,0.6,0.2,weather
162,262,141.95,19.96,0.8594,3,3,0,0.0,1,2.5,1,0.0323,1.0,0.77,aqi
163,263,119.77,24.93,0.7919,4,4,2,0.5,1,2.5,1,0.02,1.0,0.44,curfew
164,264,122.73,19.64,0.84,4,4,0,0.0,1,1.32,1,0.0455,1.0,0.62,curfew
165,265,111.09,11.27,0.8986,6,6,2,0.3333,1,2.04,1,0.0323,1.0,0.72,weather
166,266,120.79,100.0,0.1721,6,6,5,0.8333,1,0.48,6,2.0,0.5,0.11,weather
167,267,111.73,38.48,0.6556,5,5,0,0.0,1,2.01,1,0.0213,1.0,0.87,aqi
168,268,124.44,25.88,0.792,3,3,3,1.0,1,1.29,0,0.0,1.0,0.88,weather
169,269,121.06,37.41,0.691,6,6,0,0.0,1,1.15,2,0.1,1.0,0.62,curfew
170,270,102.01,14.07,0.8621,6,6,0,0.0,1,1.63,1,0.0204,1.0,0.9,curfew
171,271,130.07,31.29,0.7594,5,5,2,0.4,1,2.73,2,0.1429,1.0,0.75,curfew
172,272,120.53,13.64,0.8868,5,5,1,0.2,1,2.48,1,0.0526,1.0,0.41,curfew
173,273,138.22,26.55,0.8079,6,6,0,0.0,1,0.66,2,0.069,1.0,0.76,curfew
174,274,139.4,12.21,0.9124,6,6,2,0.3333,1,2.11,1,0.0312,1.0,0.74,aqi
175,275,115.96,28.21,0.7567,4,4,1,0.25,0,26.63,3,0.3333,0.3333,0.17,aqi
176,276,110.76,38.23,0.6548,4,4,2,0.5,1,2.61,0,0.0,1.0,0.72,curfew
177,277,126.87,12.8,0.8991,5,5,1,0.2,1,1.98,0,0.0,1.0,0.49,curfew
178,278,140.55,26.91,0.8085,5,5,0,0.0,1,0.7,2,0.0444,1.0,0.53,weather
179,279,127.09,10.91,0.9142,6,6,2,0.3333,1,2.1,1,0.0435,1.0,0.52,curfew
180,280,94.38,11.8,0.875,6,6,3,0.5,1,1.54,0,0.0,1.0,0.57,weather
181,281,134.05,35.82,0.7328,5,5,3,0.6,1,0.83,2,0.0741,1.0,0.68,aqi
182,282,106.05,17.44,0.8355,3,3,0,0.0,1,0.63,2,0.0714,1.0,0.61,weather
183,283,101.39,14.78,0.8542,5,5,3,0.6,1,1.75,1,0.0435,1.0,0.41,aqi
184,284,102.91,20.59,0.7999,4,4,0,0.0,1,1.2,2,0.0476,1.0,0.74,aqi
185,285,115.86,36.47,0.6852,3,3,2,0.6667,1,2.41,0,0.0,1.0,0.6,curfew
186,286,123.19,12.21,0.9009,5,5,3,0.6,1,2.41,2,0.0952,1.0,0.74,weather
187,287,112.39,109.47,0.026,3,3,8,2.6667,1,0.47,3,1.0,0.3333,0.3,weather
188,288,121.16,75.96,0.3731,5,5,8,1.6,1,0.07,4,0.4,0.0,0.26,aqi
189,289,132.52,18.99,0.8567,6,6,0,0.0,1,1.42,0,0.0,1.0,0.89,curfew
190,290,125.81,17.97,0.8572,3,3,1,0.3333,1,2.3,1,0.0244,1.0,0.49,curfew
191,291,98.87,30.42,0.6923,6,6,0,0.0,1,1.93,0,0.0,1.0,0.5,aqi
192,292,114.78,16.12,0.8596,4,4,3,0.75,1,2.68,2,0.0392,1.0,0.43,weather
193,293,149.89,24.35,0.8375,5,5,3,0.6,1,1.28,1,0.0667,1.0,0.86,aqi
194,294,126.6,15.77,0.8754,5,5,1,0.2,1,1.2,0,0.0,1.0,0.87,aqi
195,295,131.41,24.67,0.8123,4,4,3,0.75,1,1.37,1,0.02,1.0,0.54,curfew
196,296,143.75,21.84,0.8481,6,6,2,0.3333,1,2.89,1,0.0769,1.0,0.42,curfew
197,297,105.39,0.0,1.0,6,4,0,0.0,1,0.51,4,0.4444,0.5,0.38,weather
198,298,93.05,28.1,0.698,4,4,1,0.25,0,22.76,2,2.0,0.0,0.23,aqi
199,299,147.87,29.56,0.8001,4,4,1,0.25,0,18.14,5,0.625,0.2,0.4,aqi
200,300,144.48,12.68,0.9122,3,3,1,0.3333,1,1.84,0,0.0,1.0,0.86,weather
201,301,146.04,11.09,0.9241,4,4,3,0.75,1,2.47,2,0.1333,1.0,0.88,aqi
202,302,107.9,28.08,0.7398,3,3,2,0.6667,1,1.21,2,0.0444,1.0,0.66,weather
203,303,106.37,34.26,0.6779,6,6,2,0.3333,1,0.91,2,0.0606,1.0,0.53,weather
204,304,124.07,100.29,0.1917,5,5,5,1.0,1,0.31,5,0.7143,0.4,0.13,weather
205,305,118.65,38.07,0.6791,4,4,0,0.0,1,1.15,1,0.0526,1.0,0.78,aqi
206,306,105.69,20.79,0.8033,3,3,1,0.3333,1,0.66,1,0.0909,1.0,0.55,aqi
207,307,131.42,29.16,0.7781,5,5,2,0.4,1,1.42,0,0.0,1.0,0.88,aqi
208,308,114.95,26.48,0.7696,5,5,3,0.6,1,2.39,0,0.0,1.0,0.78,curfew
209,309,121.53,25.85,0.7873,3,3,2,0.6667,1,0.7,0,0.0,1.0,0.43,curfew
210,310,124.36,14.5,0.8834,4,4,2,0.5,1,2.64,0,0.0,1.0,0.74,curfew
211,311,143.93,23.36,0.8377,3,3,0,0.0,1,1.63,1,0.0278,1.0,0.63,weather
212,312,133.4,21.88,0.836,5,5,0,0.0,1,2.36,0,0.0,1.0,0.42,aqi
213,313,146.07,12.07,0.9174,3,3,3,1.0,1,0.58,0,0.0,1.0,0.78,curfew
214,314,112.47,36.74,0.6733,6,6,3,0.5,1,2.67,1,0.0357,1.0,0.44,curfew
215,315,129.21,20.43,0.8419,4,4,1,0.25,1,2.98,2,0.069,1.0,0.46,weather
216,316,148.71,23.89,0.8394,3,3,3,1.0,1,1.83,0,0.0,1.0,0.63,weather
217,317,91.93,29.81,0.6757,3,3,0,0.0,1,1.1,0,0.0,1.0,0.7,aqi
218,318,104.68,11.33,0.8918,3,3,3,1.0,1,1.09,0,0.0,1.0,0.47,aqi
219,319,124.65,33.18,0.7338,5,5,2,0.4,1,1.09,2,0.1538,1.0,0.66,aqi
220,320,123.4,27.75,0.7751,3,3,1,0.3333,1,2.06,2,0.0645,1.0,0.65,aqi
221,321,137.15,19.56,0.8574,6,6,3,0.5,1,1.52,1,0.0435,1.0,0.49,curfew
222,322,108.04,31.23,0.7109,4,4,3,0.75,1,2.79,1,0.0256,1.0,0.88,curfew
223,323,104.57,16.1,0.846,6,6,0,0.0,1,2.81,0,0.0,1.0,0.67,weather
224,324,126.3,0.0,1.0,6,1,0,0.0,1,1.76,6,1.5,0.6667,0.19,weather
225,325,108.19,37.27,0.6555,5,5,1,0.2,1,2.84,0,0.0,1.0,0.77,aqi
226,326,113.8,17.18,0.849,4,4,2,0.5,1,2.44,1,0.0357,1.0,0.67,aqi
227,327,120.77,24.92,0.7937,5,5,0,0.0,1,2.51,1,0.02,1.0,0.78,aqi
228,328,108.78,11.37,0.8955,5,5,1,0.2,1,2.35,1,0.2,1.0,0.68,curfew
229,329,107.71,15.89,0.8525,6,6,1,0.1667,1,1.45,1,0.0526,1.0,0.68,curfew
230,330,147.99,29.25,0.8024,6,6,3,0.5,1,1.65,1,0.02,1.0,0.48,curfew
231,331,145.01,26.26,0.8189,4,4,0,0.0,1,1.81,2,0.25,1.0,0.42,weather
232,332,94.08,14.53,0.8456,4,4,1,0.25,1,1.76,0,0.0,1.0,0.71,curfew
233,333,129.56,10.47,0.9192,6,6,3,0.5,1,0.53,2,0.0541,1.0,0.54,aqi
234,334,96.42,11.93,0.8763,6,6,1,0.1667,0,14.82,6,0.6,0.3333,0.43,aqi
235,335,112.38,22.18,0.8026,3,3,1,0.3333,1,2.98,1,0.0556,1.0,0.74,weather
236,336,95.61,21.38,0.7764,3,3,3,1.0,1,0.64,2,0.5,1.0,0.49,aqi
237,337,123.95,35.74,0.7117,5,5,0,0.0,1,2.74,0,0.0,1.0,0.51,curfew
238,338,106.27,37.72,0.6451,6,6,2,0.3333,1,2.75,2,0.05,1.0,0.42,aqi
239,339,98.65,0.0,1.0,4,4,0,0.0,1,1.86,3,0.6,0.0,0.33,aqi
240,340,113.03,32.19,0.7152,5,5,0,0.0,1,1.75,0,0.0,1.0,0.45,weather
241,341,126.31,28.42,0.775,5,5,3,0.6,1,2.92,0,0.0,1.0,0.72,aqi
242,342,123.18,21.26,0.8274,5,5,1,0.2,1,2.2,1,0.0217,1.0,0.44,curfew
243,343,132.79,12.46,0.9062,4,4,1,0.25,1,1.45,0,0.0,1.0,0.77,aqi
244,344,90.31,19.25,0.7868,3,3,2,0.6667,1,2.4,0,0.0,1.0,0.44,aqi
245,345,96.2,12.69,0.8681,6,6,0,0.0,1,1.99,1,0.0417,1.0,0.41,aqi
246,346,133.49,26.79,0.7993,3,3,1,0.3333,1,1.93,2,0.1429,1.0,0.59,weather
247,347,119.59,11.9,0.9005,5,5,3,0.6,1,1.19,1,0.0435,1.0,0.79,aqi
248,348,133.25,24.87,0.8134,4,4,1,0.25,1,1.64,1,0.0833,1.0,0.4,aqi
249,349,138.24,19.89,0.8561,6,6,2,0.3333,1,1.58,2,0.0444,1.0,0.47,aqi
250,350,118.74,15.33,0.8709,4,4,3,0.75,1,2.92,2,0.0909,1.0,0.75,aqi
251,351,109.55,18.41,0.8319,4,4,3,0.75,1,1.41,0,0.0,1.0,0.7,curfew
252,352,147.18,23.85,0.838,3,3,1,0.3333,1,1.6,2,0.0909,1.0,0.43,aqi
253,353,128.0,17.26,0.8652,4,4,1,0.25,1,2.29,0,0.0,1.0,0.62,curfew
254,354,122.06,37.7,0.6911,6,6,3,0.5,1,1.86,2,0.0741,1.0,0.85,curfew
255,355,96.56,17.45,0.8193,3,3,2,0.6667,1,0.92,0,0.0,1.0,0.68,curfew
256,356,148.01,19.95,0.8652,6,6,3,0.5,1,0.76,1,0.1,1.0,0.51,curfew
257,357,116.75,21.73,0.8139,4,4,1,0.25,1,1.36,1,0.2,1.0,0.45,aqi
258,358,96.96,38.22,0.6058,3,3,1,0.3333,1,1.37,1,0.04,1.0,0.79,curfew
259,359,95.86,31.66,0.6697,6,6,3,0.5,1,1.3,0,0.0,1.0,0.81,weather
260,360,96.56,0.0,1.0,5,2,0,0.0,1,1.87,6,1.5,0.1667,0.32,aqi
261,361,103.91,22.15,0.7868,6,6,1,0.1667,1,0.97,1,0.0217,1.0,0.6,curfew
262,362,116.97,22.89,0.8043,4,4,0,0.0,1,2.26,1,0.0588,1.0,0.78,weather
263,363,111.95,15.91,0.8579,4,4,0,0.0,1,1.16,2,0.0571,1.0,0.88,aqi
264,364,125.22,20.44,0.8368,6,6,3,0.5,1,2.04,2,0.0426,1.0,0.8,curfew
265,365,108.79,17.16,0.8423,4,4,0,0.0,1,0.96,0,0.0,1.0,0.66,aqi
266,366,115.38,24.6,0.7868,6,6,1,0.1667,1,1.89,1,0.0286,1.0,0.47,aqi
267,367,141.93,38.56,0.7283,3,3,3,1.0,1,0.84,2,0.0714,1.0,0.65,aqi
