worker_id,zone_id,vehicle_type,season,recent_disruption_rate,order_volatility,rainfall_mm,temp_c,aqi,risk_score,premium_inr
1027,Delhi_North,two_wheeler,Summer,0.262,0.306,0.66,43.6,50.0,0.274,20.96
1028,Delhi_North,two_wheeler,Normal,0.46,0.612,0.0,22.5,154.0,0.36,24.41
1029,Delhi_South,car,Normal,0.261,0.079,0.0,22.5,187.0,0.194,26.63
1030,Bengaluru_Urban,three_wheeler,Summer,0.052,0.293,22.54,25.9,108.0,0.264,24.68
1031,Bengaluru_Urban,car,Winter,0.225,0.399,0.85,20.7,52.0,0.251,30.05
1032,Delhi_South,car,Normal,0.374,0.155,0.0,28.3,238.0,0.243,29.58
1033,Delhi_North,two_wheeler,Summer,0.324,0.363,3.0,39.8,50.0,0.282,21.27
1034,Delhi_South,two_wheeler,Monsoon,0.369,0.353,52.54,33.1,50.0,0.491,29.65
1035,Chennai_Urban,two_wheeler,Summer,0.402,0.383,2.98,31.3,63.0,0.309,22.36
1036,Delhi_South,car,Monsoon,0.598,0.201,12.97,36.9,50.0,0.371,37.28
1037,Delhi_South,three_wheeler,Normal,0.239,0.223,0.0,22.8,158.0,0.216,22.38
1038,Delhi_North,car,Monsoon,0.496,0.12,16.56,33.6,50.0,0.339,35.34
1039,Chennai_Urban,car,Winter,0.219,0.422,1.68,28.7,109.0,0.257,30.41
1040,Delhi_North,two_wheeler,Winter,0.296,0.265,0.0,11.8,407.0,0.295,21.81
1041,Delhi_South,two_wheeler,Normal,0.377,0.733,0.0,26.6,185.0,0.36,24.39
1042,Chennai_Urban,car,Winter,0.148,0.201,0.89,31.8,113.0,0.188,26.28
1043,Bengaluru_Urban,car,Monsoon,0.246,0.333,9.29,21.5,134.0,0.278,31.65
1044,Delhi_North,car,Summer,0.785,0.152,1.62,48.0,50.0,0.492,44.5
1045,Bengaluru_Urban,three_wheeler,Summer,0.342,0.086,0.96,23.6,117.0,0.224,22.73
1046,Chennai_Urban,car,Winter,0.482,0.423,0.15,26.3,100.0,0.33,34.79
1047,Delhi_South,two_wheeler,Monsoon,0.393,0.038,21.65,31.5,50.0,0.312,22.48
1048,Delhi_North,three_wheeler,Summer,0.12,0.233,1.36,47.7,50.0,0.303,26.54
1049,Chennai_Urban,two_wheeler,Monsoon,0.62,0.115,44.05,29.7,54.0,0.485,29.41
1050,Chennai_Urban,car,Normal,0.254,0.431,5.86,30.0,43.0,0.286,32.15
1051,Chennai_Urban,car,Summer,0.237,0.538,2.31,27.1,79.0,0.288,32.28
1052,Bengaluru_Urban,car,Normal,0.043,0.37,4.75,21.1,103.0,0.206,27.37
1053,Bengaluru_Urban,three_wheeler,Normal,0.217,0.2,7.2,28.9,118.0,0.234,23.23
1054,Bengaluru_Urban,car,Summer,0.161,0.484,3.61,22.8,115.0,0.26,30.57
1055,Delhi_North,three_wheeler,Winter,0.449,0.316,0.0,7.6,474.0,0.385,30.48
1056,Delhi_South,car,Normal,0.158,0.388,0.0,24.6,167.0,0.225,28.51
1057,Chennai_Urban,two_wheeler,Summer,0.323,0.571,3.54,29.3,59.0,0.325,23.01
1058,Chennai_Urban,three_wheeler,Monsoon,0.405,0.468,5.77,28.4,45.0,0.338,28.23
1059,Bengaluru_Urban,car,Summer,0.134,0.078,14.2,29.3,147.0,0.213,27.75
1060,Chennai_Urban,two_wheeler,Monsoon,0.387,0.345,63.44,26.4,56.0,0.539,31.55
1061,Bengaluru_Urban,two_wheeler,Monsoon,0.243,0.404,40.4,24.6,125.0,0.415,26.62
1062,Delhi_North,two_wheeler,Summer,0.069,0.446,1.98,47.2,50.0,0.322,22.88
1063,Delhi_North,car,Normal,0.167,0.459,0.0,25.1,175.0,0.242,29.52
1064,Bengaluru_Urban,car,Summer,0.445,0.578,10.18,27.2,114.0,0.39,38.38
1065,Delhi_South,two_wheeler,Normal,0.184,0.035,0.0,23.5,209.0,0.162,16.49
1066,Delhi_South,two_wheeler,Monsoon,0.594,0.257,4.97,35.1,50.0,0.349,23.98
1067,Chennai_Urban,car,Normal,0.4,0.167,12.68,26.2,110.0,0.304,33.24
1068,Delhi_North,three_wheeler,Normal,0.562,0.566,0.0,26.0,204.0,0.382,30.33
1069,Delhi_South,car,Monsoon,0.184,0.107,20.7,29.8,50.0,0.259,30.56
1070,Chennai_Urban,two_wheeler,Normal,0.404,0.123,0.45,29.1,120.0,0.248,19.9
1071,Delhi_North,two_wheeler,Summer,0.616,0.363,1.28,35.5,50.0,0.362,24.5
1072,Bengaluru_Urban,two_wheeler,Normal,0.156,0.008,1.61,21.6,136.0,0.155,16.2
1073,Bengaluru_Urban,three_wheeler,Summer,0.201,0.26,0.22,26.6,72.0,0.213,22.23
1074,Delhi_North,three_wheeler,Summer,0.514,0.187,0.56,36.3,50.0,0.294,26.11
1075,Chennai_Urban,three_wheeler,Monsoon,0.327,0.111,3.58,25.1,57.0,0.235,23.26
1076,Chennai_Urban,car,Monsoon,0.031,0.184,39.14,27.7,73.0,0.303,33.16
1077,Chennai_Urban,two_wheeler,Summer,0.017,0.191,8.04,33.9,74.0,0.176,17.02
1078,Delhi_South,three_wheeler,Normal,0.5,0.114,0.0,31.1,162.0,0.273,25.1
1079,Bengaluru_Urban,three_wheeler,Monsoon,0.052,0.192,26.21,29.0,117.0,0.259,24.41
1080,Bengaluru_Urban,three_wheeler,Monsoon,0.431,0.492,25.54,22.5,79.0,0.43,32.63
1081,Delhi_South,three_wheeler,Normal,0.575,0.208,0.0,27.0,210.0,0.314,27.08
1082,Delhi_North,three_wheeler,Normal,0.087,0.184,0.0,24.5,232.0,0.163,19.81
1083,Bengaluru_Urban,two_wheeler,Winter,0.374,0.655,10.54,28.7,131.0,0.385,25.41
1084,Bengaluru_Urban,two_wheeler,Monsoon,0.172,0.339,25.65,25.7,53.0,0.322,22.88
1085,Delhi_North,two_wheeler,Monsoon,0.078,0.239,52.97,31.2,50.0,0.383,25.33
1086,Delhi_South,car,Summer,0.324,0.411,0.76,35.8,50.0,0.283,31.95
1087,Chennai_Urban,car,Monsoon,0.458,0.265,0.86,33.7,110.0,0.294,32.64
1088,Bengaluru_Urban,two_wheeler,Monsoon,0.367,0.602,18.84,26.3,124.0,0.406,26.24
1089,Bengaluru_Urban,three_wheeler,Monsoon,0.517,0.436,12.57,22.2,129.0,0.393,30.85
1090,Bengaluru_Urban,car,Monsoon,0.32,0.728,25.18,22.3,101.0,0.442,41.54
1091,Chennai_Urban,three_wheeler,Winter,0.396,0.265,13.14,33.8,120.0,0.324,27.57
1092,Delhi_North,two_wheeler,Winter,0.147,0.276,0.0,13.1,398.0,0.248,19.94
1093,Bengaluru_Urban,three_wheeler,Normal,0.431,0.223,0.73,25.5,91.0,0.277,25.28
1094,Bengaluru_Urban,car,Winter,0.238,0.122,5.47,28.5,98.0,0.218,28.05
1095,Delhi_South,three_wheeler,Monsoon,0.148,0.41,57.03,34.6,50.0,0.454,33.81
1096,Chennai_Urban,three_wheeler,Monsoon,0.157,0.256,82.18,33.8,42.0,0.527,37.3
1097,Chennai_Urban,car,Summer,0.404,0.151,1.69,25.1,89.0,0.258,30.49
1098,Delhi_North,two_wheeler,Winter,0.493,0.476,0.0,13.1,491.0,0.439,27.54
1099,Chennai_Urban,two_wheeler,Winter,0.244,0.4,0.35,32.1,87.0,0.254,20.18
1100,Delhi_North,two_wheeler,Normal,0.343,0.294,0.0,22.2,182.0,0.262,20.46
1101,Delhi_North,car,Monsoon,0.143,0.662,7.48,34.9,50.0,0.305,33.32
1102,Delhi_North,car,Monsoon,0.161,0.551,30.53,32.2,50.0,0.381,37.84
1103,Bengaluru_Urban,three_wheeler,Monsoon,0.078,0.271,20.94,28.6,147.0,0.261,24.54
1104,Chennai_Urban,car,Summer,0.328,0.32,12.68,25.3,89.0,0.313,33.78
1105,Delhi_North,three_wheeler,Summer,0.154,0.101,1.74,35.8,50.0,0.174,20.33
1106,Delhi_North,two_wheeler,Winter,0.47,0.619,0.0,15.4,465.0,0.447,27.88
1107,Delhi_South,three_wheeler,Monsoon,0.134,0.471,0.29,33.6,50.0,0.235,23.3
1108,Chennai_Urban,car,Normal,0.565,0.177,1.12,33.0,53.0,0.309,33.57
1109,Delhi_North,two_wheeler,Monsoon,0.394,0.545,12.44,36.0,50.0,0.377,25.09
1110,Delhi_North,two_wheeler,Winter,0.205,0.189,0.0,5.9,312.0,0.205,18.21
1111,Bengaluru_Urban,car,Normal,0.154,0.725,29.45,30.0,115.0,0.409,39.54
1112,Delhi_South,car,Monsoon,0.482,0.509,16.63,35.4,50.0,0.413,39.77
1113,Chennai_Urban,two_wheeler,Summer,0.072,0.357,1.62,29.2,87.0,0.2,17.98
1114,Chennai_Urban,three_wheeler,Summer,0.215,0.103,1.36,26.8,118.0,0.19,21.14
1115,Delhi_South,two_wheeler,Monsoon,0.168,0.408,5.36,33.9,50.0,0.253,20.13
1116,Delhi_North,three_wheeler,Monsoon,0.06,0.256,22.0,29.7,50.0,0.257,24.36
1117,Delhi_North,two_wheeler,Summer,0.474,0.445,2.67,35.5,50.0,0.342,23.67
1118,Chennai_Urban,three_wheeler,Normal,0.107,0.449,0.29,27.7,82.0,0.223,22.71
1119,Bengaluru_Urban,two_wheeler,Summer,0.352,0.216,0.04,29.7,145.0,0.249,19.96
1120,Bengaluru_Urban,three_wheeler,Monsoon,0.366,0.641,14.59,23.1,147.0,0.396,31.03
1121,Bengaluru_Urban,car,Winter,0.434,0.498,5.5,26.8,112.0,0.352,36.12
1122,Delhi_South,car,Summer,0.389,0.472,2.11,40.1,50.0,0.319,34.16
1123,Delhi_North,two_wheeler,Monsoon,0.272,0.219,33.04,31.3,50.0,0.358,24.3
1124,Delhi_South,two_wheeler,Normal,0.253,0.403,0.0,25.2,187.0,0.256,20.26
1125,Bengaluru_Urban,two_wheeler,Normal,0.18,0.729,8.83,26.0,112.0,0.335,23.4
1126,Delhi_North,three_wheeler,Summer,0.124,0.445,1.87,41.9,50.0,0.234,23.21
1127,Bengaluru_Urban,two_wheeler,Summer,0.05,0.363,0.5,29.3,143.0,0.189,17.58
1128,Delhi_South,three_wheeler,Winter,0.309,0.109,0.0,9.7,403.0,0.266,24.76
1129,Chennai_Urban,three_wheeler,Winter,0.221,0.14,0.57,32.1,85.0,0.197,21.44
1130,Delhi_South,car,Winter,0.349,0.389,0.0,14.0,455.0,0.36,36.6
1131,Chennai_Urban,two_wheeler,Winter,0.261,0.35,8.65,27.7,74.0,0.283,21.32
1132,Bengaluru_Urban,car,Winter,0.151,0.151,0.8,22.2,52.0,0.179,25.72
1133,Chennai_Urban,two_wheeler,Normal,0.111,0.649,5.94,26.4,72.0,0.287,21.48
1134,Delhi_North,car,Winter,0.52,0.453,0.0,9.1,270.0,0.347,35.79
1135,Delhi_South,car,Monsoon,0.286,0.274,23.3,30.3,50.0,0.334,35.03
1136,Delhi_South,car,Summer,0.23,0.544,0.12,41.0,50.0,0.278,31.69
1137,Delhi_North,two_wheeler,Normal,0.666,0.256,0.0,28.6,230.0,0.351,24.04
1138,Chennai_Urban,car,Summer,0.265,0.247,0.47,31.2,100.0,0.231,28.85
1139,Delhi_North,three_wheeler,Monsoon,0.298,0.337,10.94,33.5,50.0,0.301,26.42
1140,Delhi_North,car,Winter,0.305,0.231,0.0,8.1,483.0,0.329,34.74
1141,Chennai_Urban,car,Winter,0.285,0.32,2.58,25.8,54.0,0.26,30.59
1142,Delhi_North,car,Normal,0.075,0.255,0.0,26.9,211.0,0.173,25.41
1143,Delhi_North,three_wheeler,Winter,0.14,0.372,0.0,7.0,491.0,0.312,26.97
1144,Bengaluru_Urban,two_wheeler,Normal,0.335,0.006,7.73,22.2,115.0,0.233,19.31
1145,Delhi_South,car,Summer,0.22,0.327,1.42,35.8,50.0,0.237,29.22
1146,Delhi_North,three_wheeler,Monsoon,0.187,0.856,17.92,36.9,50.0,0.399,31.15
1147,Delhi_North,three_wheeler,Summer,0.554,0.087,2.86,38.4,50.0,0.295,26.16
1148,Delhi_South,car,Winter,0.027,0.345,0.0,13.2,364.0,0.209,27.54
1149,Delhi_South,three_wheeler,Normal,0.355,0.179,0.0,25.9,196.0,0.242,23.62
1150,Bengaluru_Urban,car,Normal,0.598,0.399,4.95,29.0,114.0,0.379,37.73
1151,Bengaluru_Urban,car,Monsoon,0.174,0.616,24.02,25.1,54.0,0.371,37.28
1152,Delhi_North,car,Winter,0.347,0.109,0.0,16.6,415.0,0.284,32.02
1153,Chennai_Urban,two_wheeler,Winter,0.233,0.131,1.75,34.7,102.0,0.203,18.12
1154,Bengaluru_Urban,two_wheeler,Summer,0.046,0.455,27.66,20.4,130.0,0.315,22.62
1155,Chennai_Urban,two_wheeler,Summer,0.308,0.152,2.33,27.2,75.0,0.232,19.29
1156,Delhi_South,car,Monsoon,0.127,0.193,75.37,36.5,50.0,0.478,43.69
1157,Delhi_South,three_wheeler,Summer,0.198,0.481,8.36,42.1,50.0,0.291,25.95
1158,Delhi_South,three_wheeler,Normal,0.398,0.127,0.0,27.4,209.0,0.245,23.75
1159,Bengaluru_Urban,two_wheeler,Monsoon,0.22,0.039,31.39,24.6,75.0,0.299,21.97
1160,Chennai_Urban,three_wheeler,Summer,0.316,0.522,7.66,28.6,84.0,0.33,27.83
1161,Bengaluru_Urban,car,Normal,0.133,0.465,3.97,25.9,91.0,0.249,29.93
1162,Chennai_Urban,car,Summer,0.045,0.087,4.12,30.8,85.0,0.147,23.83
1163,Chennai_Urban,three_wheeler,Summer,0.404,0.196,7.68,28.3,97.0,0.291,25.98
1164,Delhi_South,car,Winter,0.171,0.444,0.0,14.0,434.0,0.307,33.43
1165,Delhi_South,car,Normal,0.063,0.396,0.0,27.7,209.0,0.198,26.88
1166,Delhi_South,two_wheeler,Normal,0.296,0.604,0.0,24.6,193.0,0.31,22.39
1167,Delhi_South,three_wheeler,Summer,0.402,0.166,0.35,45.0,50.0,0.314,27.07
1168,Delhi_North,car,Normal,0.113,0.319,0.0,31.1,175.0,0.198,26.86
1169,Bengaluru_Urban,three_wheeler,Normal,0.501,0.404,1.2,29.1,103.0,0.336,28.12
1170,Chennai_Urban,car,Winter,0.088,0.343,2.71,25.5,61.0,0.206,27.36
1171,Bengaluru_Urban,three_wheeler,Winter,0.544,0.394,1.31,21.1,73.0,0.347,28.67
1172,Delhi_North,car,Monsoon,0.411,0.249,18.39,28.8,50.0,0.347,35.8
1173,Bengaluru_Urban,two_wheeler,Summer,0.101,0.113,0.51,25.5,101.0,0.155,16.2
1174,Delhi_South,car,Summer,0.148,0.292,1.47,44.8,50.0,0.265,30.92
1175,Bengaluru_Urban,two_wheeler,Normal,0.338,0.482,0.54,20.3,96.0,0.3,22.01
1176,Delhi_South,three_wheeler,Normal,0.206,0.419,0.0,31.6,170.0,0.246,23.79
1177,Delhi_South,two_wheeler,Summer,0.046,0.437,0.34,41.9,50.0,0.202,18.1
1178,Delhi_South,three_wheeler,Monsoon,0.345,0.224,6.11,30.0,50.0,0.273,25.09
1179,Delhi_South,three_wheeler,Monsoon,0.242,0.179,102.45,33.1,50.0,0.608,41.2
1180,Delhi_North,three_wheeler,Normal,0.308,0.148,0.0,27.3,222.0,0.222,22.65
1181,Delhi_South,car,Summer,0.12,0.546,1.23,45.7,50.0,0.324,34.42
1182,Delhi_South,two_wheeler,Winter,0.543,0.52,0.0,8.6,285.0,0.367,24.67
1183,Delhi_South,three_wheeler,Monsoon,0.386,0.054,30.17,37.8,50.0,0.347,28.66
1184,Delhi_South,three_wheeler,Normal,0.41,0.201,0.0,28.4,219.0,0.263,24.63
1185,Bengaluru_Urban,three_wheeler,Summer,0.04,0.668,12.43,27.7,116.0,0.295,26.18
1186,Chennai_Urban,three_wheeler,Monsoon,0.351,0.417,19.15,30.5,118.0,0.365,29.54
1187,Chennai_Urban,car,Normal,0.33,0.235,7.01,34.1,104.0,0.274,31.45
1188,Bengaluru_Urban,three_wheeler,Summer,0.089,0.206,5.06,20.1,80.0,0.188,21.03
1189,Chennai_Urban,three_wheeler,Normal,0.048,0.287,0.41,26.9,59.0,0.174,20.33
1190,Delhi_North,two_wheeler,Normal,0.187,0.15,0.0,28.7,233.0,0.186,17.45
1191,Delhi_North,three_wheeler,Normal,0.211,0.452,0.0,30.9,194.0,0.254,24.18
1192,Delhi_North,three_wheeler,Winter,0.368,0.562,0.0,12.3,413.0,0.379,30.21
1193,Chennai_Urban,three_wheeler,Monsoon,0.235,0.196,1.87,29.7,51.0,0.217,22.42
1194,Chennai_Urban,three_wheeler,Summer,0.487,0.231,1.24,25.1,43.0,0.297,26.26
1195,Chennai_Urban,car,Monsoon,0.287,0.308,28.32,28.5,110.0,0.361,36.66
1196,Chennai_Urban,two_wheeler,Summer,0.184,0.148,1.85,31.1,106.0,0.192,17.7
1197,Chennai_Urban,car,Summer,0.281,0.195,3.05,28.8,70.0,0.235,29.12
1198,Bengaluru_Urban,two_wheeler,Normal,0.262,0.19,3.59,26.8,109.0,0.231,19.23
1199,Chennai_Urban,car,Summer,0.186,0.432,3.82,25.7,51.0,0.258,30.45
1200,Delhi_South,car,Winter,0.537,0.479,0.0,14.8,461.0,0.438,41.26
1201,Delhi_North,two_wheeler,Monsoon,0.221,0.216,58.47,36.2,50.0,0.443,27.74
1202,Bengaluru_Urban,three_wheeler,Monsoon,0.712,0.108,32.81,23.7,93.0,0.466,34.38
1203,Chennai_Urban,three_wheeler,Normal,0.157,0.062,5.65,28.1,88.0,0.182,20.73
1204,Delhi_South,car,Summer,0.245,0.321,0.06,35.5,50.0,0.238,29.27
1205,Chennai_Urban,car,Summer,0.289,0.476,20.68,33.3,63.0,0.365,36.87
1206,Chennai_Urban,car,Winter,0.381,0.088,8.97,32.6,75.0,0.268,31.07
1207,Chennai_Urban,car,Monsoon,0.15,0.489,23.48,26.4,90.0,0.337,35.21
1208,Delhi_North,car,Normal,0.347,0.52,0.0,26.8,204.0,0.308,33.49
1209,Delhi_North,two_wheeler,Winter,0.087,0.631,0.0,9.1,469.0,0.337,23.48
1210,Chennai_Urban,three_wheeler,Normal,0.318,0.119,1.14,27.9,101.0,0.224,22.74
1211,Chennai_Urban,three_wheeler,Winter,0.708,0.274,15.62,30.7,56.0,0.43,32.62
1212,Delhi_South,car,Summer,0.464,0.201,0.04,47.0,50.0,0.38,37.83
1213,Delhi_South,two_wheeler,Winter,0.577,0.33,0.0,9.2,303.0,0.341,23.62
1214,Delhi_South,three_wheeler,Normal,0.136,0.317,0.0,29.7,216.0,0.204,21.81
1215,Delhi_North,three_wheeler,Summer,0.308,0.184,0.86,35.9,50.0,0.233,23.17
1216,Chennai_Urban,three_wheeler,Normal,0.292,0.256,7.91,30.0,97.0,0.27,24.98
1217,Bengaluru_Urban,three_wheeler,Normal,0.094,0.474,8.18,22.3,148.0,0.256,24.28
1218,Delhi_North,two_wheeler,Normal,0.039,0.22,0.0,28.2,157.0,0.156,16.23
1219,Delhi_North,two_wheeler,Normal,0.085,0.222,0.0,29.8,177.0,0.17,16.8
1220,Bengaluru_Urban,three_wheeler,Winter,0.05,0.21,14.63,20.6,50.0,0.216,22.35
1221,Delhi_North,three_wheeler,Winter,0.495,0.167,0.0,16.8,473.0,0.368,29.68
1222,Chennai_Urban,car,Summer,0.409,0.433,6.08,31.3,40.0,0.334,35.01
1223,Chennai_Urban,two_wheeler,Normal,0.439,0.095,0.25,31.4,69.0,0.252,20.07
1224,Delhi_South,car,Summer,0.215,0.37,1.08,45.0,50.0,0.302,33.14
1225,Delhi_South,car,Normal,0.284,0.491,0.0,28.1,180.0,0.284,32.01
1226,Delhi_South,two_wheeler,Monsoon,0.425,0.066,10.17,36.9,50.0,0.281,21.26
1227,Delhi_North,two_wheeler,Normal,0.197,0.504,0.0,25.4,152.0,0.26,20.39
1228,Bengaluru_Urban,three_wheeler,Winter,0.329,0.57,5.86,29.6,118.0,0.336,28.13
1229,Delhi_South,car,Winter,0.512,0.254,0.0,9.4,443.0,0.376,37.56
1230,Delhi_South,car,Winter,0.027,0.668,0.0,5.4,475.0,0.329,34.73
1231,Delhi_North,car,Normal,0.3,0.266,0.0,26.8,225.0,0.243,29.58
1232,Delhi_North,three_wheeler,Winter,0.167,0.395,0.0,8.4,299.0,0.229,23.0
1233,Bengaluru_Urban,two_wheeler,Summer,0.431,0.414,2.41,26.7,85.0,0.322,22.87
1234,Delhi_North,two_wheeler,Summer,0.194,0.245,1.19,43.2,50.0,0.236,19.44
1235,Bengaluru_Urban,two_wheeler,Normal,0.062,0.322,4.54,25.5,54.0,0.201,18.04
1236,Delhi_North,car,Winter,0.364,0.343,0.0,8.0,488.0,0.372,37.31
1237,Chennai_Urban,two_wheeler,Winter,0.242,0.185,7.87,26.9,113.0,0.241,19.64
1238,Bengaluru_Urban,three_wheeler,Summer,0.326,0.613,1.42,26.7,107.0,0.326,27.66
1239,Delhi_North,two_wheeler,Summer,0.157,0.442,0.78,37.9,50.0,0.239,19.54
1240,Delhi_North,two_wheeler,Monsoon,0.269,0.369,15.22,30.9,50.0,0.315,22.61
1241,Delhi_North,car,Summer,0.189,0.268,1.66,38.3,50.0,0.217,28.02
1242,Delhi_South,two_wheeler,Monsoon,0.628,0.09,60.47,29.8,50.0,0.548,31.94
1243,Delhi_North,three_wheeler,Normal,0.034,0.125,0.0,31.5,239.0,0.135,18.48
1244,Delhi_South,three_wheeler,Summer,0.524,0.574,0.46,46.1,50.0,0.456,33.9
1245,Chennai_Urban,three_wheeler,Normal,0.209,0.162,0.82,31.5,110.0,0.198,21.51
1246,Chennai_Urban,two_wheeler,Normal,0.047,0.434,0.28,30.2,118.0,0.202,18.08
1247,Delhi_South,two_wheeler,Monsoon,0.242,0.409,11.8,31.0,50.0,0.302,22.06
1248,Bengaluru_Urban,two_wheeler,Winter,0.336,0.775,9.88,25.4,67.0,0.395,25.81
1249,Chennai_Urban,two_wheeler,Monsoon,0.213,0.643,4.33,32.6,81.0,0.31,22.39
1250,Delhi_South,car,Summer,0.202,0.349,3.29,38.6,50.0,0.244,29.62
1251,Delhi_South,three_wheeler,Normal,0.57,0.081,0.0,31.5,200.0,0.287,25.79
1252,Delhi_North,car,Normal,0.358,0.231,0.0,29.0,232.0,0.254,30.22
1253,Delhi_North,car,Monsoon,0.192,0.293,60.14,29.3,50.0,0.457,42.4
1254,Chennai_Urban,two_wheeler,Summer,0.612,0.208,8.94,30.7,112.0,0.361,24.44
1255,Delhi_North,car,Monsoon,0.424,0.478,39.58,31.3,50.0,0.481,43.86
1256,Bengaluru_Urban,two_wheeler,Summer,0.113,0.079,8.91,26.4,113.0,0.185,17.42
1257,Chennai_Urban,two_wheeler,Monsoon,0.107,0.285,29.25,25.7,54.0,0.306,22.24
1258,Delhi_South,three_wheeler,Normal,0.32,0.1,0.0,24.1,198.0,0.216,22.37
1259,Delhi_North,two_wheeler,Summer,0.207,0.183,0.19,38.9,50.0,0.2,17.98
1260,Delhi_North,car,Winter,0.374,0.611,0.0,9.7,318.0,0.343,35.59
1261,Delhi_South,two_wheeler,Summer,0.389,0.363,2.28,44.1,50.0,0.341,23.63
1262,Delhi_North,car,Summer,0.233,0.415,2.23,37.5,50.0,0.262,30.71
1263,Delhi_South,two_wheeler,Summer,0.276,0.215,0.02,44.4,50.0,0.274,20.95
1264,Bengaluru_Urban,three_wheeler,Summer,0.38,0.207,0.11,27.4,75.0,0.256,24.28
1265,Chennai_Urban,two_wheeler,Summer,0.233,0.615,15.13,25.8,107.0,0.353,24.13
1266,Delhi_North,car,Winter,0.294,0.572,0.0,12.8,267.0,0.303,33.16
1267,Delhi_South,two_wheeler,Normal,0.391,0.344,0.0,29.9,195.0,0.286,21.45
1268,Delhi_North,car,Normal,0.069,0.708,0.0,30.2,179.0,0.262,30.73
1269,Delhi_North,car,Normal,0.21,0.398,0.0,29.6,191.0,0.243,29.55
1270,Delhi_South,two_wheeler,Monsoon,0.072,0.4,10.24,29.1,50.0,0.243,19.7
1271,Delhi_South,car,Winter,0.167,0.216,0.0,9.6,478.0,0.282,31.95
1272,Delhi_North,two_wheeler,Monsoon,0.218,0.38,58.73,29.9,50.0,0.476,29.05
1273,Bengaluru_Urban,car,Monsoon,0.353,0.759,13.83,21.8,67.0,0.413,39.79
1274,Delhi_North,car,Monsoon,0.284,0.561,21.97,30.2,50.0,0.385,38.12
1275,Bengaluru_Urban,three_wheeler,Normal,0.184,0.148,6.23,24.3,120.0,0.21,22.06
1276,Delhi_North,two_wheeler,Normal,0.566,0.092,0.0,28.1,162.0,0.288,21.53
1277,Delhi_South,two_wheeler,Normal,0.534,0.195,0.0,26.2,152.0,0.299,21.96
1278,Delhi_North,three_wheeler,Winter,0.294,0.307,0.0,15.9,384.0,0.292,26.0
1279,Delhi_North,car,Monsoon,0.353,0.399,64.25,36.5,50.0,0.543,47.57
1280,Bengaluru_Urban,three_wheeler,Normal,0.5,0.225,0.55,29.7,115.0,0.297,26.26
1281,Delhi_South,three_wheeler,Normal,0.292,0.498,0.0,25.5,187.0,0.287,25.78
